0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:47:13 +0900] "GET /sistSemiProject0921final/audio/bgm.mp3 HTTP/1.1" 206 58752793
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:47:21 +0900] "GET /sistSemiProject0921final/menu/js/jquery.js HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:47:21 +0900] "GET /sistSemiProject0921final/menu/js/function.js HTTP/1.1" 404 863
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:47:21 +0900] "GET /assets/css/star.css HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:47:21 +0900] "GET /sistSemiProject0921final/menu/js/jquery.js HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:47:21 +0900] "GET /sistSemiProject0921final/menu/js/function.js HTTP/1.1" 404 863
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:47:21 +0900] "GET /image/%EC%9D%B4%EB%AF%B8%EC%A7%80.png HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:47:22 +0900] "GET /sistSemiProject0921final/index.jsp?main=tourReview/tourSpotReviewList.jsp?currentPage=2 HTTP/1.1" 200 33017
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:47:22 +0900] "GET /sistSemiProject0921final/audio/bgm.mp3 HTTP/1.1" 206 58752793
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:47:30 +0900] "GET /sistSemiProject0921final/tourReview/listSpot.jsp?main_cat=%EC%84%AC HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:47:31 +0900] "GET /sistSemiProject0921final/tourReview/getPhoto.jsp?op_val=%EA%B0%80%ED%8C%8C%EB%8F%84&sort=1 HTTP/1.1" 200 40
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:47:31 +0900] "GET /sistSemiProject0921final/jeju/gapado.jpg HTTP/1.1" 200 175180
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:47:39 +0900] "POST /sistSemiProject0921final/tourReview/tourSpotReviewAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:47:39 +0900] "GET /sistSemiProject0921final/menu/js/jquery.js HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:47:39 +0900] "GET /sistSemiProject0921final/menu/js/function.js HTTP/1.1" 404 863
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:47:39 +0900] "GET /assets/css/star.css HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:47:40 +0900] "GET /sistSemiProject0921final/menu/js/jquery.js HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:47:40 +0900] "GET /sistSemiProject0921final/menu/js/function.js HTTP/1.1" 404 863
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:47:40 +0900] "GET /image/%EC%9D%B4%EB%AF%B8%EC%A7%80.png HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:47:40 +0900] "GET /sistSemiProject0921final/index.jsp?main=tourReview/tourSpotReviewList.jsp HTTP/1.1" 200 36283
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:47:40 +0900] "GET /sistSemiProject0921final/audio/bgm.mp3 HTTP/1.1" 206 58752793
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:47:51 +0900] "GET /sistSemiProject0921final/menu/js/jquery.js HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:47:51 +0900] "GET /sistSemiProject0921final/menu/js/function.js HTTP/1.1" 404 863
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:47:51 +0900] "GET /sistSemiProject0921final/jeju/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:47:51 +0900] "GET /assets/css/star.css HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:47:51 +0900] "GET /sistSemiProject0921final/menu/js/jquery.js HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:47:51 +0900] "GET /sistSemiProject0921final/menu/js/function.js HTTP/1.1" 404 863
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:47:51 +0900] "GET /image/%EC%9D%B4%EB%AF%B8%EC%A7%80.png HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:47:52 +0900] "GET /sistSemiProject0921final/index.jsp?main=tourReview/tourSpotReviewList.jsp?currentPage=2 HTTP/1.1" 200 38028
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:47:52 +0900] "GET /sistSemiProject0921final/audio/bgm.mp3 HTTP/1.1" 206 58752793
0:0:0:0:0:0:0:1 - - [21/Sep/2023:10:47:52 +0900] "GET /sistSemiProject0921final/jeju/android-icon-96x96.png HTTP/1.1" 304 -
